Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
"Targeting of pro-Tibet activist groups",2008-03-21,,"Attempted compromises of pro-Tibet groups using spear phishing techniques",,"Tibet Support Network, Human Rights in China, Students For a Free Tibet",China,Espionage,"Civil society",http://www.washingtonpost.com/wp-dyn/content/article/2008/03/21/AR2008032102605.html,http://www.theregister.co.uk/2008/03/22/pro_tibetan_groups_targeted/,
"Compromise of Indian military computers",2008-05-05,,"A threat actor compromised Indian military computer networks for espionage purposes.",,"Ministry of External Affairs, India National Informatics Centre",China,Espionage,"Military, Government",http://timesofindia.indiatimes.com/india/China-mounts-cyber-attacks-on-Indian-sites/articleshow/3010288.cms,http://www.spamfighter.com/News-13575-Chinese-Hack-Indian-Army-Computers-Along-Northeast-Border.htm,
"Offensive cyber campaign against Georgia",2008-08-13,"Believed to be linked to Black Energy","A series of denial of service incidents and defacements of Georgian government and nongovernment websites coincided with Russia’s military operation in the country.","Denouncement   http://uk.reuters.com/article/2008/08/11/us-georgia-ossetia-hackers-idUKLB2050320080811",Georgia,"Russian Federation","Denial of service",Government,http://www.nytimes.com/2008/08/13/technology/13cyber.html,http://uk.reuters.com/article/2008/08/11/us-georgia-ossetia-hackers-idUKLB2050320080811,"http://www.zdnet.com/article/coordinated-russia-vs-georgia-cyber-attack-in-progress/; http://defensetech.org/2008/08/13/cyber-war-2-0-russia-v-georgia/"
"Estonian denial of service incident",2007-05-16,,"In April 2007, Russia-based attackers launched a series of denial of service attacks against Estonian public and private sector organizations in response to the government's removal of a Soviet war monument from downtown Tallinn. For three weeks, threat actors targeted state and commercial websites, ranging from foreign and defense ministries to banks and media outlets, by overloading their bandwidth and flooding their servers with junk traffic, rendering them inaccessible to the public. In order to mitigate the onslaught, Estonia briefly closed its digital borders and blocked all international web traffic.

This series of denial of service operations in Estonia in 2007 was the first time that a foreign actor threatened another nation’s security and political independence primarily through cyber operations.","Denouncement   http://www.csmonitor.com/2007/0517/p99s01-duts.html",Estonia,"Russian Federation","Denial of service","Military, Government",http://www.theguardian.com/world/2007/may/17/topstories3.russia,http://foreignpolicy.com/2010/12/07/who-was-behind-the-estonia-cyber-attacks/,http://news.bbc.co.uk/2/hi/europe/6665195.stm
"Compromise of German government networks",2007-08-27,,"Threat actors compromised computers in the chancellery and in the foreign, economic, and research ministries.","Denouncement   http://www.spiegel.de/international/world/espionage-report-merkel-s-china-visit-marred-by-hacking-allegations-a-502169.html","German Chancellery, Ministry of Foreign Affairs, Ministry for Economic Affairs and Energy, Ministry of Education and Research",China,Espionage,Government,http://www.spiegel.de/international/world/espionage-report-merkel-s-china-visit-marred-by-hacking-allegations-a-502169.html,,
"Compromise of French Defense Ministry website",2007-09-09,,"A compromise of the French Defense Ministry's website",,"French Defence Ministry",China,Espionage,Military,https://web.archive.org/web/20080118141424/http://www.france24.com/france24Public/en/news/france/20070909-Internet-piracy-france-secuirty-china-hacker.html,http://www.theregister.co.uk/2007/09/12/french_cyberattacks/,
"Attempted compromise of Australian and New Zealand government computers",2007-09-12,,"An attempted compromise of government computer systems",,"Australia, New Zealand",China,Espionage,Government,https://wikileaks.org/gifiles/docs/35/355203_-os-china-australia-new-zealand-china-s-cyber-raid-on.html,http://www.spamfighter.com/News-9096-Foreign-Hackers-Attack-New-Zealand-Government-Network.htm,https://web.archive.org/web/20071013131220/http://in.news.yahoo.com/070912/139/6kngv.html
"Compromise at the Department of Homeland Security",2007-09-24,,"Threat actors exfiltrated unclassified information from Department of Homeland Security (DHS) computers to Chinese servers. Threat actors are believed to have penetrated the DHS network through a U.S. contractor.",,"U.S. Department of Homeland Security",China,Espionage,Military,http://www.cnn.com/2007/US/09/24/homelandsecurity.computers/index.html?eref=,http://www.washingtonpost.com/wp-dyn/content/article/2007/09/23/AR2007092301471.html,
"Attack on the Syrian Air Force",2007-10-04,,"A threat actor disrupts Syrian radar and air defense systems, rendering them ineffective and paving the way for an air strike. This was possibly a case of electronic warfare instead of a cyber operation.",,"Syrian Arab Air Force",Israel,"Denial of service",Military,https://web.archive.org/web/20101007181725/http://www.haaretz.com/news/report-iran-worried-over-syrian-air-defense-failure-in-iaf-strike-1.230487,http://www.wired.com/2007/10/how-israel-spoo/,
"Compromise of Chinese government computers",2007-10-23,,"The Chinese government accused Taiwan's intelligence agency of compromising Chinese government computers.",,"China Aerospace Science & Industry Corporation, National Defense Research Institutes, Military Industrial Labs, Ministry of Foreign Affairs","Taiwan, United States","Denial of service","Government, Military",http://www.scmp.com/article/613904/beijing-seeks-taiwanese-secret-agent-over-hacking,,
"Targeting of U.S. National Laboratories",2007-12-07,,"Phishing attempts were made at several U.S. Department of Energy National Laboratories, and at least one was successful against the Oak Ridge National Laboratory.",,"Oak Ridge National Laboratory, Los Alamos National Laboratory, Lawrence Livermore National Laboratory, U.S. Department of Energy, National Nuclear Security Administration",China,Espionage,"Government, Private sector",http://abcnews.go.com/TheLaw/Technology/story?id=3966047&page=1,http://www.nytimes.com/2007/12/09/us/nationalspecial3/09hack.html,
"Compromise of National Defense University",2007-01-12,,"During routine maintenance, the National Defense University discovered malware that gave threat actors persistent access to its network.",,"National Defense University",China,Espionage,Military,http://www.washingtontimes.com/news/2007/jan/12/20070112-123024-8199r/?page=1,,
"Secretary of defense email incident",2007-06-22,,"A DDoS and defacement attack targeted Estonian government websites, news outlets, and financial institutions.",,"U.S. Department of Defense",China,Espionage,Military,https://web.archive.org/web/20070625081555/http://www.theregister.co.uk/2007/06/22/department_of_defense_email_hacked/,http://www.ft.com/intl/cms/s/0/9dba9ba2-5a3b-11dc-9bcd-0000779fd2ac.html#axzz3iRQx70kq,http://news.bbc.co.uk/2/hi/americas/6977533.stm
"Compromise at the State Department",2006-07-11,,"Threat actors exfiltrated sensitive but unclassified information.",,"U.S. Department of State",China,Espionage,Government,http://www.cbsnews.com/news/state-department-computers-hacked/,,
"Compromise of the Pentagon’s NIPRNet",2006-08-17,,"Threat actors accessed unclassified information and email and probed the Pentagon network.",,"U.S. Department of Defense",China,Espionage,Military,http://www.csmonitor.com/2007/0914/p01s01-woap.html,http://gcn.com/articles/2006/08/17/red-storm-rising.aspx,
"Compromise at U.S. Naval War College",2006-12-04,,"This undefined cyber incident at the U.S. Naval War College led the college to shut down its internal- and external-facing computer networks.",,"Naval War College",China,Espionage,Military,http://fcw.com/articles/2006/12/04/china-is-suspected-of-hacking-into-navy-site.aspx?sc_lang=en,http://www.nbcnews.com/id/16057306/ns/technology_and_science-security/t/hackers-attack-us-naval-war-college/#.VckLXflVhBc,
"Titan Rain",2005-08-25,"Believed to be partially the work of PLA Unit 61398.","Titan Rain was a string of cyber operations that compromised a number of agencies within the U.S. and UK government. Chinese state-sponsored actors are suspected of breaching the unclassified networks of the U.S. Departments of State, Homeland Security, and Energy, and UK defense and foreign ministries. Although the attacks were first publicly revealed in 2005, the United States reported that they had been ongoing since at least 2003. The United Kingdom reported that the campaign continued as late as 2007.

Titan Rain was the first instance of state-sponsored espionage from China that was made public, triggering a decades-long effort by the U.S. government to reduce the breadth and scope of Chinese cyber operations against U.S. targets.",,"U.S. Department of State, U.S. Department of Defense, U.S. Department of Energy, U.S. Department of Homeland Security, NASA, UK Ministry of Defense, UK House of Commons, UK Foreign Office",China,Espionage,"Military, Government",http://www.washingtonpost.com/wp-dyn/content/article/2005/08/24/AR2005082402318.html,"http://content.time.com/time/magazine/article/0,9171,1098961,00.html","http://www.theguardian.com/technology/2007/sep/04/news.internet; http://www.theguardian.com/politics/2006/jan/19/technology.security"
Trisis,,"Also known as Triton and Xenotime","This threat actor targets the Triconex safety instrumented system (SIS) controllers produced by Schneider Electric, as well as a proprietary network communications protocol. SIS controllers maintain safe conditions in an industrial system should other failures occur. In 2017, the U.S. Department of Homeland Security released a malware analysis report on the tools used by this threat actor.",,"Saudi Arabia",,Sabotage,"Private sector",https://www.fireeye.com/blog/threat-research/2017/12/attackers-deploy-new-ics-attack-framework-triton.html,https://www.fireeye.com/blog/threat-research/2018/06/totally-tubular-treatise-on-triton-and-tristation.html,https://dragos.com/blog/trisis/TRISIS-01.pdf
Leafminer,,,"This threat actor targets government organizations and entities in the financial, petrochemical, and transportation sectors for espionage purposes.",,"Egypt, Israel, Saudi Arabia, United Arab Emirates, Bahrain, Iran, Azerbaijan, Afghanistan","Iran (Islamic Republic of)",,"Private sector, Government",https://www.symantec.com/blogs/threat-intelligence/leafminer-espionage-middle-east,,
